"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","Estonia","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","477",""
"2004","Estonia","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","298",""
"2004","Estonia","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","44,094",""
"2004","Estonia","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","492,551",""
"2004","Estonia","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Estonia","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Waste treatment","8,230,540",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","4,893,353",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","4,889,634",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","1,980",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","3,719",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","223,767",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","3,111,440",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Estonia","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","18,227,850",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","6,404,041",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","6,404,041",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","37,413",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","0","s"
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","168,553",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","11,617,843",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Ireland","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Ireland","Tonne","Hazardous","Total waste","Waste treatment","122,734",""
"2004","Ireland","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","13,675",""
"2004","Ireland","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","13,675",""
"2004","Ireland","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","37,303",""
"2004","Ireland","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0","s"
"2004","Ireland","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","6,025",""
"2004","Ireland","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","65,731",""
"2004","Ireland","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Ireland","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Waste treatment","18,105,116",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","6,390,366",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","6,390,366",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","110",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0","s"
"2004","Ireland","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","162,528",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","11,552,112",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Ireland","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","25,499,043",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","22,055,581",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","21,402,453",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","3,977",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","653,128",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","45,715",""
"2004","Greece","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","3,393,770",""
